City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,gat,31.61,34.7642,15.22,53,0,1.92,IL,1680489669
1,laguna,38.421,-121.4238,14.11,68,75,5.66,US,1680489479
2,zemio,5.0314,25.1361,23.44,66,69,0.53,CF,1680489669
3,redmond,47.674,-122.1215,5.96,87,100,0.89,US,1680489670
4,ushuaia,-54.8,-68.3,12.81,38,20,5.66,AR,1680489670
5,kaitangata,-46.2817,169.8464,15.52,60,47,0.64,NZ,1680489671
6,alofi,-19.0595,-169.9187,27.94,74,36,6.17,NU,1680489671
7,dingzhou,38.5131,114.9956,11.06,43,100,4.14,CN,1680489671
8,bredasdorp,-34.5322,20.0403,17.35,86,62,3.07,ZA,1680489671
9,longyearbyen,78.2186,15.6401,-9.09,92,100,4.63,SJ,1680489672
10,meulaboh,4.1363,96.1285,25.84,80,100,1.13,ID,1680489672
11,dikson,73.5069,80.5464,-30.02,96,53,4.72,RU,1680489673
12,rikitea,-23.1203,-134.9692,26.64,81,77,6.4,PF,1680489673
13,bazarnyy karabulak,52.2683,46.4144,5.11,68,33,1.92,RU,1680489674
14,makakilo city,21.3469,-158.0858,25.18,79,100,3.6,US,1680489674
15,neuquen,-38.9516,-68.0591,11.94,71,0,0.0,AR,1680489674
16,cabo san lucas,22.8909,-109.9124,25.17,65,75,1.54,MX,1680489675
17,sarakhs,36.5449,61.1577,10.08,71,75,2.06,IR,1680489675
18,vaini,-21.2,-175.2,29.09,65,40,4.63,TO,1680489676
19,ponta do sol,32.6667,-17.1,18.89,79,7,0.67,PT,1680489676
20,canon city,38.441,-105.2424,15.09,17,0,6.17,US,1680489677
21,airai,-8.9266,125.4092,23.69,49,100,0.84,TL,1680489678
22,cangzhou,38.3167,116.8667,18.96,22,100,6.16,CN,1680489678
23,castro,-24.7911,-50.0119,13.37,99,9,2.9,BR,1680489678
24,puerto ayora,-0.7393,-90.3518,26.97,93,72,0.89,EC,1680489679
25,suzun,53.7841,82.3116,-2.54,55,11,2.04,RU,1680489679
